TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20230302232215,71,4,37,2,0,3,-1,0,0,0,0
20230302232232,80,4,34,3,0,4,-1,0,0,0,0
20230302232239,67,4,33,3,0,6,-1,0,0,0,0
20230302232302,80,2,40,-1,0,5,-1,0,0,0,-1
20230302232311,80,3,47,-1,0,3,-1,60,0,0,-1
20230302232327,85,4,34,4,0,3,-1,60,0,0,0
20230302232327,79,4,42,5,0,4,-1,0,0,0,0
20230302232327,85,4,39,10,0,5,-1,0,0,0,0
20230302232340,77,4,20,2,1,2,2,0,0,0,0
20230302232366,80,4,44,1,0,3,-1,60,0,0,0
20230302232372,72,4,34,3,0,2,-1,0,0,0,0
20230302232372,69,4,33,3,0,3,-1,0,0,0,0
20230302232372,53,4,44,5,0,4,-1,0,0,0,0
20230302232372,63,4,56,2,0,5,-1,0,0,0,0
20230302232462,74,4,34,3,0,3,-1,0,0,0,0
20230302232503,73,3,33,-1,0,2,-1,0,0,0,-1
20230302232563,74,4,39,3,0,5,-1,0,0,0,0
20230303230575,80,4,33,5,0,4,-1,0,0,0,0
20230303230802,85,1,33,-1,0,3,-1,60,0,0,-1
20230303230853,60,4,43,10,0,2,-1,0,0,0,0
20230303231076,73,3,44,-1,0,2,-1,0,0,0,-1
20230303231084,85,4,39,15,0,3,-1,60,0,0,0
20230303231161,85,4,39,2,0,3,-1,60,0,0,0
20230303231221,51,4,24,3,1,2,2,0,0,0,0
20230303231221,56,4,24,4,1,3,3,0,0,0,0
20230303231233,85,4,33,15,0,3,-1,60,0,0,0
20230303231233,85,4,49,5,0,4,-1,0,0,0,0
20230303231233,85,3,56,-1,0,5,-1,60,0,0,-1
20230303231319,67,4,43,4,0,3,-1,0,0,0,0
20230303231399,85,4,33,3,0,4,-1,60,0,0,0
20230303231399,85,4,34,3,0,5,-1,60,0,0,0
20230303231453,80,4,44,3,0,2,-1,60,0,0,0
20230303231579,64,4,20,2,1,2,2,0,0,0,0
20230303231699,78,1,34,-1,0,4,-1,0,0,0,-1
20230303231752,66,4,38,4,0,4,-1,0,0,0,0
20230303231908,80,4,44,2,0,3,-1,61,43,43,42
20230303232150,85,1,33,-1,0,2,-1,60,0,0,-1
20230303232150,85,1,34,-1,0,3,-1,60,0,0,-1
20230303232314,72,4,33,3,0,4,-1,0,0,0,0
20230303232394,72,1,20,-1,1,2,2,0,0,0,-1
20230303232479,85,1,49,-1,0,3,-1,0,0,0,-1
20230312220750,85,4,44,2,0,3,-1,60,0,0,0
20230312221984,61,4,24,5,1,2,2,0,0,0,0
20230401231971,68,1,43,-1,0,4,-1,0,0,0,-1
20230402230003,70,2,49,-1,0,2,-1,42,42,42,-1
20230402230637,80,4,33,3,0,4,-1,60,0,0,0
20230402230637,80,4,49,2,0,5,-1,60,0,0,0
20230402230770,80,4,33,2,0,2,-1,0,0,0,0
20230402230780,80,4,37,1,0,3,-1,0,0,0,0
20230402230848,85,4,33,10,0,3,-1,60,0,0,0
20230402230906,60,4,47,2,0,3,-1,0,0,0,0
20230402230906,70,4,48,2,0,4,-1,0,0,0,0
20230402230989,70,4,25,2,1,2,2,0,0,0,0
20230402231024,73,4,47,2,0,4,-1,0,0,0,0
20230402231071,85,4,47,13,0,3,-1,60,0,0,0
20230402231141,70,4,34,10,0,3,-1,0,0,0,0
20230402231371,85,4,24,10,1,2,2,0,0,0,0
20230402231375,70,4,24,7,1,3,3,0,0,0,0
20230402231428,75,1,20,-1,1,2,2,0,0,0,-1
20230402231602,76,4,37,7,0,3,-1,0,0,0,0
20230402231828,80,4,33,10,0,6,-1,60,0,0,0
20230402231828,64,1,43,-1,0,7,-1,0,0,0,-1
20230402231828,76,4,41,5,0,8,-1,0,0,0,0
20230402231828,56,4,43,3,0,9,-1,0,0,0,0
20230402231883,85,1,33,-1,0,3,-1,60,0,0,-1
20230402231959,85,4,33,4,0,2,-1,60,0,0,0
20230402231975,79,2,35,-1,0,2,-1,0,0,0,-1
20230402232006,73,1,33,-1,0,4,-1,0,0,0,-1
20230402232078,75,4,20,4,1,2,2,0,0,0,0
20230402232091,85,3,47,-1,0,7,-1,60,0,0,-1
20230402232262,63,1,20,-1,1,2,2,0,0,0,-1
20230402232374,68,4,20,2,1,2,2,0,0,0,0
20230402232409,80,4,43,2,0,4,-1,0,0,0,0
20230402232499,71,4,34,7,0,6,-1,0,0,0,0
20230402232510,85,4,40,13,0,3,-1,60,0,0,0
20230402232526,70,4,33,8,0,6,-1,0,0,0,0
20230403230012,85,1,47,-1,0,6,-1,60,0,0,-1
20230403230044,76,4,34,2,0,2,-1,0,0,0,0
20230403230081,85,4,44,7,0,3,-1,0,0,0,0
20230403230540,85,4,47,2,0,5,-1,0,0,0,0
20230403230540,85,4,48,2,0,6,-1,60,0,0,0
20230403230543,85,4,33,2,0,2,-1,60,0,0,0
20230403230560,85,4,33,6,0,3,-1,0,0,0,0
20230403230625,80,4,33,2,0,5,-1,60,0,0,0
20230403230625,85,4,34,2,0,6,-1,0,0,0,0
20230403230704,71,4,38,20,0,3,-1,0,0,0,0
20230403230704,85,4,49,6,0,4,-1,60,0,0,0
20230403230704,68,1,44,-1,0,5,-1,0,0,0,-1
20230403230704,85,4,44,7,0,6,-1,60,0,0,0
20230403230704,73,4,43,3,0,7,-1,0,0,0,0
20230403230765,85,1,24,-1,1,2,2,0,0,0,-1
20230403230769,80,4,36,8,0,2,-1,60,0,0,0
20230403230787,85,4,33,5,0,2,-1,60,0,0,0
20230403230792,85,4,44,2,0,3,-1,0,0,0,0
20230403230793,66,4,33,10,0,6,-1,0,0,0,0
20230403230793,63,4,34,8,0,7,-1,0,0,0,0
20230403230793,73,4,39,17,0,8,-1,0,0,0,0
20230403230793,80,4,40,4,0,9,-1,60,0,0,0
20230403230804,85,4,33,3,0,3,-1,60,0,0,0
20230403230826,80,4,44,2,0,2,-1,60,0,0,0
20230403230826,58,4,44,2,0,3,-1,0,0,0,0
20230403230850,85,2,38,-1,0,2,-1,60,0,0,-1
20230403230969,70,4,44,5,0,4,-1,0,0,0,0
20230403230984,85,4,56,2,0,3,-1,60,0,0,0
20230403230984,80,3,56,-1,0,4,-1,60,0,0,-1
20230403231044,69,3,49,-1,0,2,-1,0,0,0,-1
20230403231044,73,3,49,-1,0,3,-1,0,0,0,-1
20230403231044,75,2,49,-1,0,4,-1,0,0,0,-1
20230403231070,61,4,24,5,1,2,2,0,0,0,0
20230403231133,73,4,33,4,0,4,-1,0,0,0,0
20230403231136,66,4,33,2,0,4,-1,0,0,0,0
20230403231136,69,3,41,-1,0,5,-1,0,0,0,-1
20230403231144,65,4,33,3,0,3,-1,0,0,0,0
20230403231206,69,1,38,-1,0,2,-1,0,0,0,-1
20230403231237,80,4,33,2,0,3,-1,60,0,0,0
20230403231237,85,4,34,5,0,4,-1,60,0,0,0
20230403231237,80,4,43,2,0,5,-1,0,0,0,0
20230403231237,85,3,43,-1,0,6,-1,60,0,0,-1
20230403231237,59,3,43,-1,0,7,-1,0,0,0,-1
20230403231253,78,4,20,20,1,2,2,0,0,0,0
20230403231259,85,4,39,4,0,3,-1,60,0,0,0
20230403231266,72,2,47,-1,0,4,-1,0,0,0,-1
20230403231324,85,1,33,-1,0,2,-1,0,0,0,-1
20230403231324,85,1,34,-1,0,3,-1,60,0,0,-1
20230403231385,80,1,49,-1,0,3,-1,60,0,0,-1
20230403231385,85,1,49,-1,0,4,-1,60,0,0,-1
20230403231385,79,4,47,1,0,5,-1,0,0,0,0
20230403231388,85,4,39,3,0,3,-1,60,0,0,0
20230403231443,85,4,33,5,0,3,-1,60,0,0,0
20230403231469,85,3,34,-1,0,3,-1,0,0,0,-1
20230403231469,85,3,39,-1,0,4,-1,60,0,0,-1
20230403231575,85,4,33,10,0,3,-1,0,0,0,0
20230403231575,65,4,20,7,1,2,2,0,0,0,0
20230403231684,85,4,41,10,0,2,-1,60,0,0,0
20230403231735,85,4,33,8,0,2,-1,60,0,0,0
20230403231749,66,2,49,-1,0,2,-1,0,0,0,-1
20230403231749,75,4,43,10,0,3,-1,0,0,0,0
20230403231760,68,4,33,2,0,7,-1,0,0,0,0
20230403231814,85,4,41,3,0,3,-1,60,0,0,0
20230403231814,80,4,42,3,0,4,-1,60,0,0,0
20230403231911,85,4,33,5,0,3,-1,60,0,0,0
20230403231911,85,3,34,-1,0,4,-1,60,0,0,-1
20230403231916,85,3,34,-1,0,3,-1,60,0,0,-1
20230403231956,80,4,41,10,0,2,-1,60,0,0,0
20230403231970,72,2,39,-1,0,3,-1,0,0,0,-1
20230403231970,80,2,40,-1,0,4,-1,60,0,0,-1
20230403232040,73,4,33,2,0,3,-1,0,0,0,0
20230403232042,65,4,25,24,1,3,3,0,0,0,0
20230403232064,85,4,44,12,0,2,-1,60,0,0,0
20230403232064,80,4,44,4,0,3,-1,60,0,0,0
20230403232064,69,4,44,12,0,4,-1,0,0,0,0
20230403232067,85,4,40,8,0,3,-1,60,0,0,0
20230403232067,85,2,43,-1,0,4,-1,60,0,0,-1
20230403232067,85,4,56,3,0,5,-1,61,0,0,0
20230403232103,74,3,20,-1,1,2,2,0,0,0,-1
20230403232112,75,3,33,-1,0,3,-1,0,0,0,-1
20230403232112,75,1,34,-1,0,4,-1,0,0,0,-1
20230403232115,85,4,43,20,0,2,-1,60,0,0,0
20230403232167,85,4,24,10,1,2,2,0,0,0,0
20230403232193,85,4,24,1,1,2,2,0,0,0,0
20230403232198,85,4,47,2,0,5,-1,60,0,0,0
20230403232210,85,4,34,2,0,3,-1,60,0,0,0
20230403232235,80,4,41,3,0,6,-1,60,0,0,0
20230403232288,85,4,34,3,0,3,-1,0,0,0,0
20230403232304,80,4,47,20,0,5,-1,60,0,0,0
20230403232327,85,1,26,-1,1,4,4,0,0,0,-1
20230403232372,85,4,47,2,0,2,-1,60,0,0,0
20230403232372,79,1,56,-1,0,3,-1,0,0,0,-1
20230403232380,80,4,33,5,0,3,-1,0,0,0,0
20230403232410,80,4,39,10,0,3,-1,60,0,0,0
20230403232435,85,4,41,9,0,2,-1,60,0,0,0
20230403232436,80,4,33,4,0,7,-1,60,0,0,0
20230403232470,80,4,43,5,0,3,-1,0,0,0,0
20230403232483,85,4,39,2,0,3,-1,60,0,0,0
20230403232485,73,4,38,2,0,2,-1,0,0,0,0
20230403232485,69,4,37,2,0,3,-1,0,0,0,0
20230403232485,42,2,49,-1,0,4,-1,0,0,0,-1
20230403232485,85,4,44,2,0,5,-1,60,0,0,0
20230403232517,85,1,56,-1,0,2,-1,60,0,0,-1
20230403232522,68,1,38,-1,0,3,-1,0,0,0,-1
20230403232522,80,3,49,-1,0,4,-1,60,0,0,-1
20230403232569,79,4,33,10,0,5,-1,0,0,0,0
20230403232583,80,1,43,-1,0,4,-1,60,0,0,-1
20230403232589,85,4,43,2,0,3,-1,60,0,0,0
20230404230071,85,2,34,-1,0,3,-1,60,0,0,-1
20230404230309,64,2,24,-1,1,2,2,0,42,0,-1
20230404230666,85,4,33,2,0,2,-1,60,0,0,0
20230404230694,85,4,39,3,0,3,-1,60,0,0,0
20230404230782,79,3,44,-1,0,3,-1,0,0,0,-1
20230404230976,85,4,34,7,0,3,-1,60,0,0,0
20230404230976,85,4,56,7,0,4,-1,0,0,0,0
20230404230988,85,4,44,2,0,2,-1,60,0,0,0
20230404230988,80,4,44,2,0,3,-1,60,0,0,0
20230404231219,62,4,43,5,0,2,-1,0,0,0,0
20230404231376,80,3,20,-1,1,2,2,0,0,0,-1
20230404231377,77,3,20,-1,1,2,2,0,0,0,-1
20230404231382,72,3,36,-1,0,4,-1,0,0,0,-1
20230404231444,80,4,40,2,0,4,-1,60,0,0,0
20230404231490,74,3,38,-1,0,4,-1,0,0,0,-1
20230404231560,80,3,33,-1,0,3,-1,0,0,0,-1
20230404231724,85,4,33,3,0,3,-1,60,0,0,0
20230404231724,85,3,41,-1,0,4,-1,60,0,0,-1
20230404231745,85,4,33,10,0,3,-1,60,0,0,0
20230404231745,85,4,34,8,0,4,-1,60,0,0,0
20230404231764,80,4,33,3,0,3,-1,0,0,0,0
20230404231764,80,4,34,3,0,4,-1,0,0,0,0
20230404231777,56,4,38,2,0,2,-1,0,0,0,0
20230404231777,80,2,33,-1,0,3,-1,60,0,0,-1
20230404231777,54,3,38,-1,0,4,-1,0,0,0,-1
20230404231791,80,4,38,3,0,2,-1,60,0,0,0
20230404231843,76,3,26,-1,1,3,3,0,0,0,-1
20230404231884,85,4,24,5,1,2,2,60,0,0,0
20230404231898,85,4,33,5,0,4,-1,60,0,0,0
20230404231898,85,4,34,5,0,5,-1,60,0,0,0
20230404231939,76,4,33,20,0,3,-1,0,0,0,0
20230404231960,80,4,20,4,1,2,2,0,0,0,0
20230404232055,85,4,33,4,0,3,-1,60,0,0,0
20230404232075,75,4,30,6,1,2,2,0,0,0,0
20230404232084,80,4,33,4,0,3,-1,60,0,0,0
20230404232192,85,4,39,2,0,3,-1,60,0,0,0
20230404232285,78,4,44,8,0,3,-1,0,0,0,0
20230502232284,79,4,33,9,0,5,-1,0,0,0,0
20230503230514,85,3,33,-1,0,3,-1,60,0,0,-1
20230503230682,67,4,34,8,0,5,-1,0,0,0,0
20230503230693,85,4,44,2,0,2,-1,60,0,0,0
20230503230698,80,4,33,3,0,3,-1,60,0,0,0
20230503230698,85,4,34,3,0,4,-1,60,0,0,0
20230503230742,68,4,44,2,0,2,-1,0,42,0,42
20230503230871,72,4,33,3,0,3,-1,0,0,0,0
20230503230871,73,1,34,-1,0,4,-1,0,0,0,-1
20230503230999,66,4,20,8,1,2,2,0,0,0,0
20230503231091,68,3,43,-1,0,4,-1,0,0,0,-1
20230503231263,85,4,33,1,0,2,-1,60,0,0,0
20230503231264,45,4,20,25,1,2,2,0,0,0,0
20230503231297,78,1,39,-1,0,4,-1,0,0,0,-1
20230503231384,77,4,39,2,0,3,-1,0,0,0,0
20230503231384,80,4,40,2,0,4,-1,0,0,0,0
20230503231548,77,4,49,3,0,3,-1,0,0,0,0
20230503231619,85,4,20,4,1,2,2,0,0,0,0
20230503231680,85,4,33,7,0,2,-1,60,0,0,0
20230503231828,80,4,33,5,0,2,-1,0,0,0,0
20230503231960,73,1,39,-1,0,3,-1,0,0,0,-1
20230503232098,70,4,24,4,1,2,2,0,0,0,0
20230503232249,79,3,33,-1,0,2,-1,0,0,0,-1
20230503232249,79,3,34,-1,0,3,-1,0,0,0,-1
20230503232329,72,4,43,2,0,3,-1,0,0,0,0
20230503232329,71,2,43,-1,0,4,-1,0,0,0,-1
20230503232329,80,3,43,-1,0,5,-1,60,0,0,-1
20230503232329,75,1,20,-1,1,2,2,0,0,0,-1
20230503232345,85,4,43,5,0,5,-1,60,0,0,0
20230503232551,73,1,44,-1,0,6,-1,0,0,0,-1
20230504230040,85,1,44,-1,0,2,-1,60,0,0,-1
20230504230045,85,1,24,-1,1,2,2,60,0,0,-1
20230504230064,85,2,38,-1,0,2,-1,0,0,0,-1
20230504230089,70,4,44,8,0,3,-1,0,0,0,0
20230504230089,78,4,56,3,0,4,-1,0,0,0,0
20230504230127,70,2,44,-1,0,5,-1,0,0,0,-1
20230504230127,75,4,41,5,0,6,-1,0,0,0,0
20230504230246,59,3,24,-1,1,2,2,0,0,0,-1
20230504230601,70,1,44,-1,0,2,-1,0,0,0,-1
20230504230616,85,3,24,-1,1,2,2,0,0,0,-1
20230504230616,64,2,30,-1,1,3,3,0,0,0,-1
20230504230644,54,4,33,5,0,3,-1,0,0,0,0
20230504230644,85,4,47,10,0,4,-1,0,0,0,0
20230504230721,80,4,20,3,1,2,2,0,0,0,0
20230504230735,63,4,20,25,1,2,2,0,0,0,0
20230504230747,80,4,33,5,0,2,-1,60,0,0,0
20230504230753,75,4,24,2,1,3,3,0,0,0,0
20230504230756,80,2,40,-1,0,4,-1,60,0,0,-1
20230504230775,76,1,33,-1,0,7,-1,0,0,0,-1
20230504230775,85,1,34,-1,0,8,-1,60,0,0,-1
20230504230775,85,1,41,-1,0,9,-1,60,0,0,-1
20230504230775,85,1,49,-1,0,10,-1,60,0,0,-1
20230504230775,80,1,49,-1,0,11,-1,60,0,0,-1
20230504230812,85,4,24,9,1,3,3,0,0,0,0
20230504230835,80,1,33,-1,0,3,-1,60,0,0,-1
20230504230860,85,3,33,-1,0,3,-1,60,0,0,-1
20230504230876,80,3,47,-1,0,3,-1,0,0,0,-1
20230504230899,63,4,24,6,1,5,5,0,0,0,0
20230504230901,85,3,44,-1,0,5,-1,0,0,0,-1
20230504230982,71,4,34,5,0,5,-1,0,0,0,0
20230504230983,77,2,34,-1,0,3,-1,0,0,0,-1
20230504231068,65,1,41,-1,0,4,-1,0,0,0,-1
20230504231094,62,4,33,5,0,2,-1,0,0,0,0
20230504231109,78,1,20,-1,1,2,2,0,0,0,-1
20230504231193,80,4,20,2,1,2,2,60,0,0,0
20230504231207,75,4,43,2,0,3,-1,0,0,0,0
20230504231257,80,4,33,20,0,2,-1,60,0,0,0
20230504231260,85,4,33,20,0,3,-1,60,0,0,0
20230504231263,80,2,34,-1,0,6,-1,0,0,0,-1
20230504231279,78,1,33,-1,0,4,-1,0,0,0,-1
20230504231279,80,3,39,-1,0,5,-1,0,0,0,-1
20230504231297,79,1,38,-1,0,2,-1,0,0,0,-1
20230504231320,80,4,44,2,0,5,-1,0,0,0,0
20230504231320,67,4,44,5,0,6,-1,0,0,0,0
20230504231320,67,4,44,5,0,7,-1,0,0,0,0
20230504231343,71,4,20,6,1,2,2,0,0,0,0
20230504231353,60,4,49,1,0,2,-1,0,0,0,0
20230504231358,70,1,34,-1,0,6,-1,0,0,0,-1
20230504231358,79,4,41,2,0,7,-1,0,0,0,0
20230504231364,48,4,20,5,1,2,2,0,0,0,0
20230504231373,70,4,39,15,0,6,-1,0,0,0,0
20230504231373,74,4,40,15,0,7,-1,0,0,0,0
20230504231373,70,1,43,-1,0,8,-1,42,0,0,-1
20230504231386,76,1,33,-1,0,5,-1,0,0,0,-1
20230504231386,80,4,34,6,0,6,-1,60,0,0,0
20230504231403,71,1,43,-1,0,2,-1,0,0,0,-1
20230504231416,80,4,33,7,0,3,-1,0,0,0,0
20230504231439,85,4,33,5,0,2,-1,60,0,0,0
20230504231448,79,4,20,3,1,2,2,0,0,0,0
20230504231460,85,4,33,3,0,4,-1,60,0,0,0
20230504231460,85,4,39,3,0,5,-1,60,0,0,0
20230504231468,85,4,33,40,0,3,-1,60,0,0,0
20230504231491,63,4,24,20,1,2,2,0,0,0,0
20230504231498,75,4,33,2,0,3,-1,0,0,0,0
20230504231498,77,3,34,-1,0,4,-1,0,0,0,-1
20230504231500,80,4,33,6,0,4,-1,0,0,0,0
20230504231526,65,4,20,6,1,2,2,0,0,0,0
20230504231549,74,4,20,3,1,2,2,0,0,0,0
20230504231552,68,3,40,-1,0,5,-1,0,0,0,-1
20230504231567,80,1,39,-1,0,5,-1,61,0,0,-1
20230504231567,80,1,40,-1,0,6,-1,61,0,0,-1
20230504231569,79,4,43,13,0,2,-1,0,0,0,0
20230504231574,85,3,49,-1,0,3,-1,60,0,0,-1
20230504231604,75,3,20,-1,1,2,2,0,0,0,-1
20230504231617,78,4,44,2,0,2,-1,0,0,0,0
20230504231617,85,4,44,2,0,3,-1,60,0,0,0
20230504231617,85,3,44,-1,0,4,-1,0,0,0,-1
20230504231698,77,4,33,3,0,5,-1,0,0,0,0
20230504231698,74,4,34,3,0,6,-1,0,0,0,0
20230504231704,71,4,33,5,0,3,-1,0,0,0,0
20230504231706,85,2,33,-1,0,3,-1,60,0,0,-1
20230504231731,70,2,43,-1,0,2,-1,0,0,0,-1
20230504231763,85,1,33,-1,0,2,-1,60,0,0,-1
20230504231798,80,4,43,3,0,3,-1,60,0,0,0
20230504231798,80,4,43,5,0,4,-1,0,0,0,0
20230504231816,58,4,33,15,0,3,-1,0,0,0,0
20230504231817,72,1,33,-1,0,3,-1,0,0,0,-1
20230504231817,74,1,34,-1,0,4,-1,0,0,0,-1
20230504231852,85,4,33,4,0,3,-1,60,0,0,0
20230504231883,85,4,33,2,0,2,-1,60,0,0,0
20230504231883,85,4,34,2,0,3,-1,60,0,0,0
20230504231928,68,1,34,-1,0,2,-1,0,0,0,-1
20230504231938,78,1,24,-1,1,2,2,0,0,0,-1
20230504231955,80,4,20,6,1,2,2,0,0,0,0
20230504231987,85,2,34,-1,0,4,-1,60,0,0,-1
20230504232037,76,1,41,-1,0,3,-1,0,0,0,-1
20230504232042,80,3,33,-1,0,2,-1,60,0,0,-1
20230504232053,39,4,44,18,0,3,-1,0,0,0,0
20230504232067,76,4,33,2,0,7,-1,0,0,0,0
20230504232067,77,4,26,2,1,5,5,0,0,0,0
20230504232067,80,4,26,2,1,6,6,0,0,0,0
20230504232108,85,4,48,33,0,4,-1,60,0,0,0
20230504232137,80,4,39,2,0,3,-1,60,0,0,0
20230504232156,75,1,44,-1,0,3,-1,0,0,0,-1
20230504232156,75,1,44,-1,0,4,-1,0,0,0,-1
20230504232162,69,1,34,-1,0,4,-1,0,0,0,-1
20230504232175,71,3,20,-1,1,2,2,0,0,0,-1
20230504232177,85,4,43,5,0,2,-1,60,0,0,0
20230504232220,63,4,33,5,0,4,-1,0,0,0,0
20230504232226,70,3,33,-1,0,3,-1,0,0,0,-1
20230504232238,56,1,49,-1,0,3,-1,0,0,0,-1
